,lang,AllTags,Lemmas,LAS
88,indL_2290_hplt,89.17999319496427,97.40558012929567,81.69445389588296
89,pesA_3050_hplt,96.34939709112005,99.38258815729499,93.75129490738823
90,glgL_hplt,94.0816463783711,95.00975183267201,51.883112515972826
91,cesL_hplt,98.38257109672375,99.43019123954967,94.64575259605101
92,lvsL_hplt,83.67538313149716,90.7459007609045,76.90761976208339
93,cymL_31250_hplt,88.9698108774815,92.32350522729944,82.82039234112534
94,hebH_3050_hplt,96.3035336264452,96.66992346523368,91.08451392281387
95,engL_31250_hplt,97.03514784410616,98.08320714114927,92.95847612975213
96,islL_hplt,88.73625586988891,96.45659145573245,87.41982590768525
97,turL_31250_hplt,91.37902003704326,91.44637144300387,74.60851995285401
98,vieL_2290_hplt,91.41293191926103,99.85460143687992,68.67943893260349
99,ellG_300_hplt,92.61619190404798,91.91341829085458,88.9523988005997
100,vieL_31250_hplt,92.1228190215532,99.88881286349641,70.27027027027027
101,gleL_hplt,78.64279355030172,86.20041547136216,40.82500741913147
102,mltL_hplt,95.52966675697643,100.0,41.46121195701255
103,hinD_hplt,89.6754163138583,98.30369743155518,83.2881738639571
104,turL_3050_hplt,91.05910085873042,90.96929898411629,73.09311331874054
105,vieL_760_hplt,91.39582620595279,99.87170715018816,67.84981183715361
106,rusC_2290_hplt,94.37096590116538,98.34261149646838,93.22017778566808
107,korH_3050_hplt,89.84347458224636,94.3418176690404,89.2335895085666
108,rusC_3050_hplt,94.4020340100686,98.3597306585171,93.4160970846701
109,turL_0_hplt,86.69248470561823,87.31548521075378,64.89869226020093
110,vieL_0_hplt,83.80088949709203,98.00718439958946,54.23366404379063
111,ellG_30_hplt,84.7263868065967,88.06221889055472,78.42016491754123
112,hebH_30_hplt,90.63670411985018,94.21918254355968,81.38739618954568
